Symbol,Sector,Prior,Open,High,Low,Close,Chg.,%Chg.,Avg,Bid,Offer,Volume,Value,Market Cap,P/E*,P/BV*,Book Value,Dividend%,Turnover Ratio,Listed Share,Par,Period,as of,Total Asset,Liabilities, Paid-up , Equity , Revenue ,Net Profit,EPS**,D/E,Net Profit%,ROA%,ROE%,YTP
PRG,Agribusiness,82.25,28.24,28.24,28.24,28.24,28.24,28.24,28.24,28.24,28.24,28.24,28.24,6300000000,28.24,1.26,83.34,4.05,0.6,60000000,10,Q4/2012,41274,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BNC,Consumer Products: Fashion,7.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,184380000,N/A,2.06,6.78,-,1.34,13170000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PAF,Consumer Products: Fashion,1.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,756000000,N/A,N/A,-0.47,-,217.97,540000000,5,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PG,Consumer Products: Fashion,12.7,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,1200000000,10.4,0.74,16.9,4.8,3.44,96000000,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BTNC,Consumer Products: Fashion,19,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,204000000,87.93,0.51,33.28,2.94,0.31,12000000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TR,Consumer Products: Fashion,50.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8668800000,N/A,0.42,101.78,0.86,1.37,201600000,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CEI,Consumer Products: Home & Office Products,3.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1110970000,N/A,1.61,3.66,-,131.3,188300000,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KYE,Consumer Products: Home & Office Products,264,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,6556000000,9.72,1.67,178.04,5.31,13.13,22000000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
STHAI,Consumer Products: Pharmaceuticals,0.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,454502569.4,N/A,N/A,-0.15,-,1.62,499453373,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
JCT,Consumer Products: Pharmaceuticals,68.5,11.37,11.37,11.37,11.37,11.37,11.37,11.37,11.37,11.37,11.37,11.37,1059750000,11.37,1.29,60.64,5.1,3.03,13500000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PE,Financials: Finance and Securities,1.13,22.16,22.16,22.16,22.16,22.16,22.16,22.16,22.16,22.16,22.16,22.16,1016000000,22.16,2.22,0.57,-,414.6,800000000,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FSS,Financials: Finance and Securities,2.62,17.56,17.56,17.56,17.56,17.56,17.56,17.56,17.56,17.56,17.56,17.56,3187054112,17.56,1.97,3.55,2.16,131.71,465263374,1.6,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KTC,Financials: Finance and Securities,31,45.25,45.25,45.25,45.25,45.25,45.25,45.25,45.25,45.25,45.25,45.25,11538044963,45.25,2.22,20.13,0.89,101.41,257833407,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BUI,Financials: Insurance,16.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,328000000,N/A,0.66,24.77,-,2.34,20000000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CHARAN,Financials: Insurance,52.5,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39,343500000,11.39,0.58,97.87,5.24,16.36,6000000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KSL,Food and Beverage,13.7,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,21137621362,9.12,1.89,6.86,3.85,15.61,1704646884,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PM,Food and Beverage,7.35,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,8125000000,18.3,5.58,2.24,2.96,95.56,650000000,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SECC,Industrials: Automotive,0.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,135920439.8,N/A,N/A,-0.93,-,-,617820182,1,Q4/2012,41274,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SMC,Industrials: Automotive,1.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,266178718.4,N/A,N/A,-0.46,-,-,235556388,10,Q4/2012,41274,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
YNP,Industrials: Automotive,0.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,464000000,N/A,322.58,-,-,-,1600000000,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TRU,Industrials: Automotive,11.7,11.61,11.61,11.61,11.61,11.61,11.61,11.61,11.61,11.61,11.61,11.61,6570822411,11.61,2.15,6.08,4.58,11.73,501589497,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
STANLY,Industrials: Automotive,217,12.86,12.86,12.86,12.86,12.86,12.86,12.86,12.86,12.86,12.86,12.86,19999125000,12.86,2.13,122.76,1.15,4.68,76625000,5,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TNPC,Industrials: Automotive,17.4,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,1158585176,11.18,2.33,10.06,0.39,129.49,49512187,5,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PATKL,Industrials: Machinery,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,108892040.4,0.4,0.2,1.43,-,-,414607781,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
VARO,Industrials: Machinery,5.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,619393162.6,N/A,0.53,11.78,-,1.08,99902123,5,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TCJ,Industrials: Machinery,11.9,10.92,10.92,10.92,10.92,10.92,10.92,10.92,10.92,10.92,10.92,10.92,873883344,10.92,1.08,12.83,0.35,135.72,63324880,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NIPPON,Industrials: Packanging,3.5,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,724680000,7.54,3.4,2.33,2.27,1005.99,183000000,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TPP,Industrials: Packanging,15.4,14.41,14.41,14.41,14.41,14.41,14.41,14.41,14.41,14.41,14.41,14.41,648750000,14.41,0.87,19.8,1.73,110.79,37500000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PTL,Industrials: Packanging,13.8,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,9600000000,20.48,1.14,10.55,1.42,17.26,800000000,1,Q4/2012,41274,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
YCI,Industrials: Petrochemicals & Chemicals,6.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62300000,N/A,4.31,2.07,-,11.59,7000000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PATO,Industrials: Petrochemicals & Chemicals,11.3,17.73,17.73,17.73,17.73,17.73,17.73,17.73,17.73,17.73,17.73,17.73,1512000000,17.73,3.27,3.3,5.56,9.36,140000000,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TCB,Industrials: Petrochemicals & Chemicals,30,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,8325000000,10.07,0.83,33.3,1.59,27.6,300000000,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MAX,Industrials: Steel,0.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,568311593.2,N/A,7.87,0.04,-,517.6,1833263204,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MILL,Industrials: Steel,2.12,40.93,40.93,40.93,40.93,40.93,40.93,40.93,40.93,40.93,40.93,40.93,3090416636,40.93,1.11,1.77,-,10,1568739409,0.4,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TUCC,Industrials: Steel,0.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,162109340.6,N/A,N/A,-0.83,-,178.63,311748732,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CITY,Industrials: Steel,3.2,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,1194000000,8.27,1.15,3.47,4.02,30.5,300000000,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MCS,Industrials: Steel,6.35,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,2290000000,13.88,0.96,4.76,3.93,57.61,500000000,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TIW,Industrials: Steel,138,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,870000000,7.04,0.82,176.99,3.19,7.03,6000000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LHK,Industrials: Steel,3.42,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,1700520000,13.33,1.93,2.76,2.63,58.9,383000000,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PPP,Property & Construction: Construction Materials,5,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,2100000000,27.14,N/A,-,-,185.81,300000000,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SINGHA,Property & Construction: Construction Materials,0.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,134400000,N/A,N/A,-0.66,-,-,448000000,1,Q4/2012,41274,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TPIPL,Property & Construction: Construction Materials,14.1,117.93,117.93,117.93,117.93,117.93,117.93,117.93,117.93,117.93,117.93,117.93,29275500000,117.93,0.45,32.52,0.69,52.61,2019000000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ASCON,Property & Construction: Property Development,3.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1102245925,N/A,N/A,-2.73,-,-,460726157,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EMC,Property & Construction: Property Development,1.6,52.21,52.21,52.21,52.21,52.21,52.21,52.21,52.21,52.21,52.21,52.21,1771345361,52.21,1.89,1.6,-,219.65,1173076398,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ESTAR,Property & Construction: Property Development,0.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5524470804,N/A,1.38,0.8,-,121,5022246185,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KMC,Property & Construction: Property Development,0.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3927888988,N/A,1.77,1.05,-,645.93,6335304819,20,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
N-PARK,Property & Construction: Property Development,0.06,67.17,67.17,67.17,67.17,67.17,67.17,67.17,67.17,67.17,67.17,67.17,16859519682,67.17,27.45,0.01,-,343.82,1.20425E+11,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NUSA,Property & Construction: Property Development,1.06,37.25,37.25,37.25,37.25,37.25,37.25,37.25,37.25,37.25,37.25,37.25,2869338157,37.25,1.23,1.02,-,242.16,2473567377,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PAE,Property & Construction: Property Development,2.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3386303103,N/A,28.79,0.09,-,299.47,1498364205,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SCAN,Property & Construction: Property Development,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,300000000,N/A,N/A,-4.77,-,-,60000000,10,Q4/2012,41274,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SYNTEC,Property & Construction: Property Development,1.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2736000000,N/A,1.27,1.35,-,320.49,1600000000,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
WAT,Property & Construction: Property Development,0.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,486400000,N/A,6.51,0.18,-,526.36,2560000000,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ROJNA,Property & Construction: Property Development,10.5,14.54,14.54,14.54,14.54,14.54,14.54,14.54,14.54,14.54,14.54,14.54,17359111271,14.54,2.61,4.85,2.46,41.47,1422877973,1,Q4/2012,41274,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BLAND,Property & Construction: Property Development,1.23,23.07,23.07,23.07,23.07,23.07,23.07,23.07,23.07,23.07,23.07,23.07,40046153638,23.07,1.25,1.57,1.02,327.79,20642347236,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TRC,Property & Construction: Property Development,14.7,25.63,25.63,25.63,25.63,25.63,25.63,25.63,25.63,25.63,25.63,25.63,3668782920,25.63,4.53,0.82,0.76,51.93,673171178,0.5,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TFD,Property & Construction: Property Development,4.12,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,15275285252,29.25,9.86,1.64,0.56,173.19,1083353564,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
WHA,Property & Construction: Property Development,36.5,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,160.68,34271943048,160.68,11.27,4.97,0.18,76.54,611998983,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BROCK,Property & Construction: Property Development,1.24,71.53,71.53,71.53,71.53,71.53,71.53,71.53,71.53,71.53,71.53,71.53,2193499850,71.53,1.78,1.2,0.14,44.18,1024999930,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ERWPF,Property & Construction: Property Fund,10.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1831440000,N/A,N/A,-,-,23.42,176100000,10.4,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KPNPF,Property & Construction: Property Fund,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1800000000,N/A,N/A,-,-,7.49,180000000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
M-II,Property & Construction: Property Fund,10.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,970000000,N/A,1,10.04,-,2.53,97000000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SSPF,Property & Construction: Property Fund,4.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,794920000,N/A,0.56,8.47,-,1.05,167000000,10,Q4/2012,41274,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
UOBAPF,Property & Construction: Property Fund,2.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,238000000,N/A,0.57,4.92,-,0.61,85000000,9.75,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
URBNPF,Property & Construction: Property Fund,4.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,292320000,N/A,0.7,5.91,-,3.33,72000000,8.471,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LUXF,Property & Construction: Property Fund,7.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1129875000,N/A,0.57,10.12,12.21,11.75,196500000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MNRF,Property & Construction: Property Fund,9.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1069625000,N/A,0.8,12.36,9.97,4.57,107500000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MNIT2,Property & Construction: Property Fund,9.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,954465000,N/A,0.9,10.51,9.89,7.2,100470000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
QHOP,Property & Construction: Property Fund,9.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1759960000,N/A,0.94,9.8,8.7,8.53,191300000,10,Q4/2012,41274,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CTARAF,Property & Construction: Property Fund,10.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3120000000,N/A,0.92,10.55,7.69,6.12,320000000,9.9396,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PFFUND,Property & Construction: Property Fund,9.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,530400000,N/A,0.97,10.55,7.37,14.96,52000000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MONTRI,Property & Construction: Property Fund,9.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,578880000,N/A,0.91,10.6,7.29,2.51,60300000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TTLPF,Property & Construction: Property Fund,20.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3744000000,N/A,1.93,10.76,7.21,0.6,180000000,9.9,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CPNRF,Property & Construction: Property Fund,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32562901330,N/A,1.85,11.18,7.15,6.12,1636326700,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MSPF,Property & Construction: Property Fund,9.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,786600000,N/A,0.9,10.61,7.11,1.99,82800000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
POPF,Property & Construction: Property Fund,14.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4753800000,N/A,1.25,11.16,7.11,4.87,342000000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MJLF,Property & Construction: Property Fund,14.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4620000000,N/A,1.17,12.01,7,1.42,330000000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
M-STOR,Property & Construction: Property Fund,12.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,741760000,N/A,1.06,11.46,6.98,0.24,60800000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SSTPF,Property & Construction: Property Fund,9.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,661500000,N/A,0.93,10.49,6.89,3.31,67500000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DTCPF,Property & Construction: Property Fund,11.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4380580000,N/A,1,10.65,6.87,2.73,409400000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TNPF,Property & Construction: Property Fund,9.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,681600000,N/A,0.95,10.21,6.83,5.58,71000000,9.9,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
QHPF,Property & Construction: Property Fund,11.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8687300000,N/A,1.01,10.77,6.81,3.17,797000000,9.8659,Q4/2012,41274,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BKKCP,Property & Construction: Property Fund,9.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1000000000,N/A,0.82,12.2,6.55,2.88,100000000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FUTUREPF,Property & Construction: Property Fund,17.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9638103020,N/A,1.58,10.81,6.51,4,529566100,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
