Symbol,Sector,Prior,Open,High,Low,Close,Chg.,%Chg.,Avg,Bid,Offer,Volume,Value,Market Cap,P/E*,P/BV*,Book Value,Dividend%,Turnover Ratio,Listed Share,Par,Period,as of,Total Asset,Liabilities, Paid-up , Equity , Revenue ,Net Profit,EPS**,D/E,Net Profit%,ROA%,ROE%,YTP
UMI,Property & Construction: Construction Materials,7.7,27.12,27.12,27.12,27.12,27.12,27.12,27.12,27.12,27.12,27.12,27.12,10181458362,27.12,9.95,2.14,0.32,306.11,478002740,1,Q1/2013,41364,4705632,2697149,478003,1758321,926231,39127,0.07,1.53,4.22,21.29,43.42,68.93319191
SENA,Property & Construction: Property Development,3.28,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,2658701949,9.05,1.17,3.19,4.44,80.46,714704825,1,Q4/2012,41274,4658955.31,2372552.9,714704.82,2276498.2,368630.53,49058.64,0.07,1.04,13.31,10.05,13.47,48.36157097
KAMART,Services: Commerce,7,30.62,30.62,30.62,30.62,30.62,30.62,30.62,30.62,30.62,30.62,30.62,5670000000,30.62,9.31,1.01,2.22,191.95,600000000,0.6,Q1/2013,41364,822900,214662,360000,608827,200570,41453,0.07,0.35,20.67,24.5,34.38,5.178443056
MATCH,Services: Media & Publishing,5.85,27.79,27.79,27.79,27.79,27.79,27.79,27.79,27.79,27.79,27.79,27.79,1707683457,27.79,3.54,1.86,0.91,78.75,469143807,1,Q1/2013,41364,590423,87829,259144,501315,175045,19385,0.07,0.18,11.07,13.72,12.54,4.530771215
ERW,Services: Tourism & Leisure,4.44,74.73,74.73,74.73,74.73,74.73,74.73,74.73,74.73,74.73,74.73,74.73,11586926295,74.73,3.17,1.63,0.37,91.78,2249888601,1,Q1/2013,41364,13356771,9488859,2249888,3656160,1305243,148160,0.07,2.6,11.35,5.13,4.22,64.04467468
CCET,Technology: Electronic Components,3.22,11.42,11.42,11.42,11.42,11.42,11.42,11.42,11.42,11.42,11.42,11.42,14134322104,11.42,0.93,3.73,4.62,76.41,4085064192,1,Q1/2013,41364,54335902,39122066,4077556,15213836,29863763,273804,0.07,2.57,0.92,2.89,8.26,142.8834714
TRUBB,Agribusiness,3.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2030732381,N/A,1.35,2.2,-,33.87,681453819,1,Q1/2013,41364,7148903,5641635,681454,1500100,4068415,41241,0.06,3.76,1.01,0.72,-12.99,136.7967557
GBX,Financials: Finance and Securities,0.74,15.63,15.63,15.63,15.63,15.63,15.63,15.63,15.63,15.63,15.63,15.63,1285110143,15.63,0.94,1.25,-,233.64,1089076392,1,Q1/2013,41364,3288003,1923323,1089076,1364680,9820610,70397,0.06,1.41,0.72,3.96,6.24,27.32109323
QH,Property & Construction: Property Development,2.14,14.64,14.64,14.64,14.64,14.64,14.64,14.64,14.64,14.64,14.64,14.64,39122849776,14.64,2.39,1.78,2.82,205.77,9183767553,1,Q4/2012,41274,42078395,25707411,9183768,16370984,3747561,590278,0.06,1.57,15.75,9.36,17.93,43.55136224
SC,Property & Construction: Property Development,28.75,20.86,20.86,20.86,20.86,20.86,20.86,20.86,20.86,20.86,20.86,20.86,21439762500,20.86,2.47,2.63,0.44,17.89,3298425000,1,Q4/2012,41274,24448613,14672632,3298125,9775981,1759241,225439,0.06,1.5,12.81,6.66,11.96,65.08471028
POST,Services: Media & Publishing,4.62,23.98,23.98,23.98,23.98,23.98,23.98,23.98,23.98,23.98,23.98,23.98,3575000000,23.98,4.13,1.73,2.24,32.64,500000000,1,Q1/2013,41364,1937716,1069640,500000,865836,592123,27754,0.06,1.24,4.69,11.48,17.94,38.54003027
IFEC,Consumer Products: Home & Office Products,2.64,11.03,11.03,11.03,11.03,11.03,11.03,11.03,11.03,11.03,11.03,11.03,1859535214,11.03,2.81,1.62,5.48,298.46,407792810,1,Q1/2013,41364,920907.55,205150.87,407792.81,715756.68,143506.72,21432.4,0.05,0.29,14.93,13.28,13.14,9.57199707
TGCI,Property & Construction: Construction Materials,4.3,33.32,33.32,33.32,33.32,33.32,33.32,33.32,33.32,33.32,33.32,33.32,9570127452,33.32,4.99,1.92,1.46,148.61,1595021242,1,Q1/2013,41364,3891179,1975226,999849,1915953,741782,47413,0.05,1.03,6.39,9.83,16.34,41.66000886
BWG,Services: Professional Services,1.68,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,1814209780,20.24,1.33,1.91,1.57,810.38,714255819,1,Q1/2013,41364,2176708,630331,714256,1364857,302795,35204,0.05,0.46,11.63,7.47,6.86,17.90509601
TOG,Consumer Products: Pharmaceuticals,3.42,15.71,15.71,15.71,15.71,15.71,15.71,15.71,15.71,15.71,15.71,15.71,1673189142,15.71,1.02,3.46,7.06,21.18,472652300,1,Q1/2013,41364,2070162,435314,472652,1634848,386617,16928,0.04,0.27,4.38,6.56,6.69,25.71561909
TMB,Financials: Banking,1.86,48.53,48.53,48.53,48.53,48.53,48.53,48.53,48.53,48.53,48.53,48.53,1.15993E+11,48.53,1.96,1.36,1.24,71.86,43606322266,0.95,Q1/2013,41364,736960364,677719423,41372425,59172508,10045404,1816523,0.04,11.45,18.08,0.4,4.25,373.0860677
ML,Financials: Finance and Securities,1.25,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,1072000000,7.92,0.86,1.56,-,167.96,800000000,0.5,Q1/2013,41364,2676478,1369555,400000,1306923,123544,35117,0.04,1.05,28.42,6.78,11.81,38.99977219
US,Financials: Finance and Securities,6.8,230.22,230.22,230.22,230.22,230.22,230.22,230.22,230.22,230.22,230.22,230.22,3629559136,230.22,3.72,5.78,-,111.65,168816704,5,Q1/2013,41364,1008167.33,33232.54,844083.52,974934.8,14489.26,6938.23,0.04,0.03,47.89,1.79,1.63,4.789772031
BSBM,Industrials: Steel,1.15,60.35,60.35,60.35,60.35,60.35,60.35,60.35,60.35,60.35,60.35,60.35,1460925000,60.35,0.77,1.68,-,40.16,1132500000,1,Q1/2013,41364,2310889,402815,1132500,1908074,831604,40367,0.04,0.21,4.85,1.46,1.27,9.978819333
PERM,Industrials: Steel,1.02,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,855000000,13.18,0.96,1.78,2.92,285.25,500000000,1,Q1/2013,41364,2310359,1420610,500000,889749,1092692,20458,0.04,1.6,1.87,6.27,7.46,69.44031675
RML,Property & Construction: Property Development,2.14,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,7222356733,10.2,4.26,0.47,-,342.44,3575424125,1,Q4/2012,41274,14432991,12735015,3575424,1693637,1464312,142097,0.04,7.52,9.7,8.77,63.76,89.62198357
PRIN,Property & Construction: Property Development,2,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,2633695895,9.9,0.69,3.13,4.63,175.84,1219303655,1,Q4/2012,41274,7854625.95,4041276.98,1219303.66,3813331.54,560121.2,47583.07,0.04,1.06,8.5,4.61,7.19,84.93098449
NWR,Property & Construction: Property Development,1.92,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,7898977108,14.7,4.26,1.19,2.36,885.07,1974744277,1,Q1/2013,41364,7873443,5978304,1552901,1855599,1681866,55158,0.04,3.22,3.28,9.38,32.52,108.3850756
DEMCO,Resources: Energy & Utilities,7.35,24.78,24.78,24.78,24.78,24.78,24.78,24.78,24.78,24.78,24.78,24.78,9812960446,24.78,5.74,3.19,2.05,501.95,629035926,1,Q1/2013,41364,4425344.59,2060779.98,626043.44,2328068.81,745861.72,24447.31,0.04,0.89,3.28,11.63,18.33,84.2947539
AKR,Resources: Energy & Utilities,1.33,12.82,12.82,12.82,12.82,12.82,12.82,12.82,12.82,12.82,12.82,12.82,1817399372,12.82,4.55,0.51,0.23,445.37,790173640,0.8,0,0,2255217.54,1830922.69,632138.91,424294.85,568561.58,28469.13,0.04,4.32,5.01,14.17,43.52,64.31256206
NMG,Services: Media & Publishing,1.76,37.19,37.19,37.19,37.19,37.19,37.19,37.19,37.19,37.19,37.19,37.19,4218215168,37.19,5.75,0.89,-,652.72,1647740300,0.53,Q1/2013,41364,4118304,2362644,873302,1466052,777876,73979,0.04,1.61,9.51,10.4,17.43,31.93668473
SMM,Services: Media & Publishing,2.22,17.26,17.26,17.26,17.26,17.26,17.26,17.26,17.26,17.26,17.26,17.26,551821661.6,17.26,1.4,1.61,0.31,194.31,250828028,1,Q4/2012,41274,931897,469750,250766,462147,175871,9683,0.04,1.02,5.51,5.2,6.46,48.51285759
SIM,Technology: Communication Technology,2.2,58.04,58.04,58.04,58.04,58.04,58.04,58.04,58.04,58.04,58.04,58.04,18483607500,58.04,6.53,0.65,0.59,90.21,4338875000,0.1,Q4/2012,41274,5044107,2179247,433888,2829530,2466285,177199,0.04,0.77,7.18,8.67,12.18,12.29830304
LEE,Agribusiness,3.66,11.47,11.47,11.47,11.47,11.47,11.47,11.47,11.47,11.47,11.47,11.47,2351835018,11.47,1.1,2.75,6.91,42.18,773629940,1,Q1/2013,41364,2433212,280686,773630,2130424,908740,21104,0.03,0.13,2.32,9.51,9.14,13.30013268
ECL,Financials: Finance and Securities,1.1,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,553500000,14.8,1.17,1.16,5.93,211.72,410000000,1,Q1/2013,41364,1785260.45,1295119.59,410000,490140.86,56105.06,13440.14,0.03,2.64,23.96,3.22,8.21,96.36206096
CWT,Industrials: Automotive,4.62,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,932705870.4,12.3,1.39,2.05,0.36,111.64,328417560,1,Q1/2013,41364,1606454,866502,328418,739952,261896,10475,0.03,1.17,4,9.01,11.29,82.72095465
TYCN,Industrials: Steel,6.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3711548985,N/A,0.61,10.16,-,0.64,603503900,10,Q1/2013,41364,11194997,5129453,6035039,6065544,2086478,15513,0.03,0.85,0.74,-2.54,-5.77,330.655128
NNCL,Property & Construction: Property Development,2.02,14.75,14.75,14.75,14.75,14.75,14.75,14.75,14.75,14.75,14.75,14.75,4409920458,14.75,1.68,1.71,2.76,74.23,1541930230,1,Q1/2013,41364,4578000,1946713,1541930,2631287,303100,37684,0.03,0.74,12.43,9.71,12.15,51.65887379
CI,Property & Construction: Property Development,7,14.92,14.92,14.92,14.92,14.92,14.92,14.92,14.92,14.92,14.92,14.92,1512000000,14.92,1.4,8.98,1.19,37.67,120000000,5,Q1/2013,41364,3704022,2370842,600000,1077934,318553,3082,0.03,2.2,0.97,8.88,9.85,769.2543803
VIH,Services: Health Care Services,3.16,88.07,88.07,88.07,88.07,88.07,88.07,88.07,88.07,88.07,88.07,88.07,1979500000,88.07,2.65,1.4,0.81,133.67,535000000,1,Q1/2013,41364,1120576,356483,535000,747831,270212,16332,0.03,0.48,6.04,4.34,3.44,21.82727161
ASIMAR,Services: Transportation & Logistics,2.24,9.34,9.34,9.34,9.34,9.34,9.34,9.34,9.34,9.34,9.34,9.34,547577104.4,9.34,1.8,1.18,0.48,297.57,258291087,1,Q1/2013,41364,665922,351904,234810,314018,184964,6203,0.03,1.12,3.35,9.7,14.82,56.73125907
SPPT,Technology: Electronic Components,3.9,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,943483441.3,3.18,1.53,2.4,6.01,35.86,257782361,1,Q4/2012,41274,807033,250782,257782,556250,181843,7790,0.03,0.45,4.28,37.1,52.49,32.1928113
LHBANK,Financials: Banking,1.36,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.66,17562978213,24.66,1.25,1.19,0.57,29.47,12281802946,1,Q1/2013,41364,128335887,113787018,12213672,14548868,1592960,209174,0.02,7.82,13.13,0.89,5.27,543.9826078
OSK,Financials: Finance and Securities,4.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3522437880,N/A,1.71,2.51,-,0.08,819171600,1,Q1/2013,41364,3601224,1545015,819172,2056209,186172,12987,0.02,0.75,6.98,-1.83,-2.94,118.966274
GSTEL,Industrials: Steel,0.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10688203176,N/A,1.62,0.24,-,78.64,32388494474,1,Q1/2013,41364,39903370,20604125,30311651,9293569,2286945,481605,0.02,2.22,21.06,-8.19,-43.76,42.78220741
INOX,Industrials: Steel,1.82,42.16,42.16,42.16,42.16,42.16,42.16,42.16,42.16,42.16,42.16,42.16,13798405107,42.16,1.36,1.3,-,0.33,7795709100,1,Q1/2013,41364,13904623,3764700,7795709,10139923,2637331,137234,0.02,0.37,5.2,2.38,3.17,27.43270618
GLAND,Property & Construction: Property Development,3.46,137.76,137.76,137.76,137.76,137.76,137.76,137.76,137.76,137.76,137.76,137.76,24988516898,137.76,3.86,1.25,-,3.56,5316705723,1,Q1/2013,41364,14432786,7341307,5163882,6468685,810075,97880,0.02,1.13,12.08,2.82,3,75.00313649
TPOLY,Property & Construction: Property Development,1.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1352391229,N/A,2.52,1.28,-,243.75,419997276,1,Q1/2013,41364,3485723.9,2821721.38,419997.28,578621.18,678854.12,7440.45,0.02,4.88,1.1,-4.99,-29.09,379.2406884
